Country,corruption,employment,HDI,life_exp,pop_dens,ppp,prosperity
Afghanistan,13.01553909,63.55818211,0.479916997,61.92590909,49.50069833,1897.512455,33.9360031
Albania,34.22995091,47.36790848,0.772260315,77.12963636,105.7540909,11693.21127,57.7420922
Algeria,33.18579727,37.4314544,0.744163632,75.35363636,16.0710676,14441.566640000001,49.62233939
Angola,19.91366818,71.7526363,0.5470100729999999,56.83445455,20.94297578,6937.601181999999,37.79260376
Argentina,34.81461273,55.64172779,0.824168903,75.59090909,15.42939709,20044.75864,58.85801448
Armenia,33.29908727,48.8185456,0.743041539,73.80318182,102.1875243,8765.904545,57.03015536
Australia,81.58559636,61.54327323,0.9307789240000001,81.96940133,3.007596525,48295.35736,78.63574163
Austria,74.98809364,57.05554511,0.9019476040000001,80.95853659,103.41601419999999,48355.00418,79.64615619
Azerbaijan,27.25021364,61.67827294,0.742360962,71.40636364,113.7117923,17487.874359999998,52.99242069
Bahamas,68.2368175,64.7338184,0.798161096,72.57781818,36.58820271,31723.19664,
Bahrain,46.09989,71.19727325,0.8154504290000001,76.33709091,1725.763184,47038.43345,61.02218911
Bangladesh,25.77901091,54.739999600000004,0.576292417,70.49636364,1173.727063,3801.942818,44.919811700000004
Barbados,71.373902,59.49218195,0.808904115,78.54,660.2501057,17601.892359999998,
Belarus,33.56211182,59.89390911,0.804952152,71.91064302,46.75897036,18656.92091,56.65149277
Belgium,74.71584636,49.2949999,0.9092019459999999,80.58159645,367.2347664,44874.74873,76.21859182
Belize,,60.10000021,0.707783663,72.79627273,15.14261289,8220.823455,54.71720359
Benin,35.51804545,69.52309002,0.49705700399999997,59.79745455,89.03114177,2945.3176359999998,44.75091779
Bhutan,62.58396727,65.44063707,0.594456465,69.13090909,18.65685775,8029.537090999999,
Bolivia,31.42111909,67.80445515,0.676038987,68.86845455,9.729688494,6870.049091,52.08452214
Bosnia and Herzegovina,36.91564636,35.35581831,0.745528773,76.35827273,69.20742365,11824.889,57.12591451
Botswana,61.16171091,56.71672717,0.696303627,62.84636364,3.6577076139999996,16229.572730000002,57.29050482
Brazil,38.61282727,58.30709041,0.7448745940000001,74.14009091,24.03938462,15848.617180000001,59.49649947
Brunei Darussalam,57.78599667,60.78254561,0.840635455,74.96754545,76.71178196,80980.42827,
Bulgaria,40.20815091,49.2959997,0.795685746,74.054102,66.89086781,20073.82191,63.17817269
Burkina Faso,37.67847636,63.97981817,0.40202214299999994,58.13590909,62.61623139,1753.520364,43.95092494
Burundi,19.48657818,77.57145413,0.41676332899999996,58.29418182,373.26105210000003,748.9342727000001,36.72746226
Cabo Verde,56.02231091,59.89563647,0.638235091,71.51854545,127.0342432,6660.538545,56.82318908
Cambodia,20.73687182,81.60745517,0.556145366,67.29563636,85.21275107,3600.797818,47.49218457
Cameroon,24.95658818,73.59281783,0.530228289,56.09381818,46.83667769,3441.150818,41.86774573
Canada,83.06586999999999,61.21527238,0.9097337390000001,81.49254989,3.857559952,46125.95145,79.52111393
Central African Republic,23.28220364,67.50190804,0.36307118899999996,48.78454545,7.158874063,822.5911818,31.86990949
Chad,19.491329999999998,69.93908969,0.39239515799999997,51.74590909,10.53286055,2445.544818,32.72131446
Chile,69.46714182,57.31400022,0.828754442,79.10136364,23.71963459,23475.49364,68.0182527
China,38.21415727,66.82681899,0.728592116,75.01772727,144.6601996,14679.698269999999,58.50140872
Colombia,36.31515818,63.39181865,0.745292814,75.86027273,42.0890624,13584.78564,57.00826816
Comoros,25.37337,41.62045461,0.528625765,62.47445455,399.13720539999997,2650.216,44.82653448
