Country,corruption,employment,HDI,life_exp,pop_dens,ppp,prosperity,a,b,c,d
Afghanistan,13.01553909,63.55818211,0.479916997,61.92590909,49.50069833,1897.512455,33.9360031,-2.022440472,1.007006162,0.154966497,-0.341457588
Albania,34.22995091,47.36790848,0.772260315,77.12963636,105.7540909,11693.21127,57.7420922,-75.37946753,1.313496052,0.063741353,4.084230257
Algeria,33.18579727,37.4314544,0.744163632,75.35363636,16.0710676,14441.56664,49.62233939,-7.182767639,1.397875892,0.154488478,0.854133963
Argentina,34.81461273,55.64172779,0.824168903,75.59090909,15.42939709,20044.75864,58.85801448,-78.74164044,2.629752439,0.11803633,2.635478795
Armenia,33.29908727,48.8185456,0.743041539,73.80318182,102.1875243,8765.904545,57.03015536,-51.8073147,2.457959927,0.103706777,2.356388432
Australia,81.58559636,61.54327323,0.930778924,81.96940133,3.007596525,48295.35736,78.63574163,-88.48035454,1.183531885,0.114207957,0.800040451
Austria,74.98809364,57.05554511,0.901947604,80.95853659,103.4160142,48355.00418,79.64615619,-1118.72268,4.734951841,0.0886067,4.636734871
Azerbaijan,27.25021364,61.67827294,0.742360962,71.40636364,113.7117923,17487.87436,52.99242069,-2.471497675,1.334445423,0.156957024,0.68277143
Bahamas,68.2368175,64.7338184,0.798161096,72.57781818,36.58820271,31723.19664,,-1.024126919,7.323546946,0.141551661,-1.260167804
Bahrain,46.09989,71.19727325,0.815450429,76.33709091,1725.763184,47038.43345,61.02218911,-157.4621252,4.98712595,0.042843294,3.436858899
Bangladesh,25.77901091,54.7399996,0.576292417,70.49636364,1173.727063,3801.942818,44.9198117,-86.79966253,0.304800343,0.022712161,5.607768125
Belarus,33.56211182,59.89390911,0.804952152,71.91064302,46.75897036,18656.92091,56.65149277,13.46032829,1.633300216,0.183755084,-1.20953323
Belgium,74.71584636,49.2949999,0.909201946,80.58159645,367.2347664,44874.74873,76.21859182,-218.5357281,1.108356975,0.13220056,1.915354348
Bolivia,31.42111909,67.80445515,0.676038987,68.86845455,9.729688494,6870.049091,52.08452214,-11.24003161,2.293924851,0.116020559,1.540294783
Bosnia and Herzegovina,36.91564636,35.35581831,0.745528773,76.35827273,69.20742365,11824.889,57.12591451,-29.10978864,2.675732598,0.123617831,1.873787074
Brazil,38.61282727,58.30709041,0.744874594,74.14009091,24.03938462,15848.61718,59.49649947,-192.6083325,2.36470087,0.146586387,2.859869928
Bulgaria,40.20815091,49.2959997,0.795685746,74.054102,66.89086781,20073.82191,63.17817269,-207.2108052,2.797439762,0.051494389,4.189285367
